song_id,title,artist,genre,mood_tag,bpm,musical_key,camelot_key,energy,valence
73,Be Your Sound,"Cosmic Gate, Emma Hewitt",EDM,Chill,132,G Major,9B,4,5
74,Hide & Seek - Tiesto Remix,"Imogen Heap, Tiesto",EDM,Chill,130,F# Minor,11A,5,6
75,Run,"Lane 8, Kasablanca",EDM,Chill,124,F Major,7B,5,7
76,On A Good Day,OceanLab,EDM,Chill,136,F# Major,2B,4,6
77,Ocean Drive,Duke Dumont,EDM,Chill,115,G# Minor,1A,4,6
78,No Place - Will Clarke Remix,"RUFUS DU SOL, Will Clarke",EDM,Chill,125,B Minor,10A,4,5
79,Faded,ZHU,EDM,Chill,125,A Minor,8A,5,6
80,Rollin,"Calvin Harris, Future, Khalid, Funk Wav",EDM,Chill,92,F# Minor,11A,3,5
81,What You Hiding?,YouNotUs,EDM,Vibe,135,A# Minor,3A,6,7
82,Promises,BOVOSKI,EDM,Vibe,154,C# Major,3B,7,8
83,Ocean Avenue,"Fairlane, Ryan Scott Graham",EDM,Vibe,170,C Major,8B,7,8
84,L'Amour Toujours,"Lawstylez, Techno King, M-T3CK",EDM,Vibe,150,D Major,10B,8,9
85,ecstacy (slowed),SUICIDAL-IDOL,EDM,Vibe,106,D Major,10B,5,5
86,Genie In A Bottle,"MAJED, Z3LLA",EDM,Vibe,140,C Major,8B,7,8
87,Paparazzi,"Gang Speed, Emilio",EDM,Vibe,138,Ab Major,4B,7,8
88,Everytime We Touch,"Lawstylez, Techno King, STROWBERRY",EDM ,Vibe,150,C# Major,3B,8,9
89,Believe,"ELMY, Boostereo, TECHNO KING",EDM,Vibe,150,C# Major,3B,7,8
90,What Am I Doing Here? Pt.2,"Chicane, Walsh & Mcauley",EDM,Vibe,132,D# Minor,2A,6,7
91,Till The Sky Falls Down,Vibe,EDM,Vibe,132,D# Minor,2A,6,7
92,Waiting For The Night,"Armin van Buuren, Fiora",EDM,Vibe,130,C# Major,3B,6,7
93,Freaking Out,A R I Z O N A,EDM,Vibe,125,F# Major,2B,7,8
94,Call On Me,Eric Prydz,EDM,Vibe,126,Bb Major,6B,7,8
95,Sun And Moon,Above & Beyond,EDM,Vibe,134,F# Minor,11A,7,8
96,Steal You Away,"Dash Berlin, Michael Brun, Alexander Popov",EDM,Vibe,128,F# Major,2B,6,7
97,Alors On Danse,"Stromae, Kanye West",EDM,Vibe,120,C# Minor,12A,7,8
,,,,,,,,,
98,She Doesn't Mind,Sean Paul,Pop,Vibe,120,G Minor,6A,7,8
99,A Bar Song (Tipsy),Shaboozey,Pop,Vibe,81,A Major,11B,7,9
100,Cliche,MGK,Pop,Vibe,105,D Major,10B,5,6
101,MEMORIES!,347aidan,Pop,Vibe,155,A Major,11B,6,7
102,Desert Rose,"Sting, Cheb Mami",Pop,Vibe,112,C Minor,5A,6,7
103,Into You,Ariana Grande,Pop,Vibe,108,A Major,11B,7,8
104,Maps,Maroon 5,Pop,Vibe,120,C# Minor,12A,7,8
105,Waiting for Tonight,Jennifer Lopez,Pop,Vibe,125,A# Minor,3A,7,8
106,California ,Anthony Russo,Pop,Vibe,142,Bb Major,6B,6,7
107,Broken,"THEY., Jessie Reyez",Pop,Vibe,132,A Major,11B,5,5
108,Tokyo Narita-Freestyle,"Halsey, Lido",Pop,Vibe,76,F Minor,4A,5,6
109,2002,Anne- Marie,Pop,Vibe,96,C# Minor,12A,6,8
110,Don't Blame Me,Taylor Swift,Pop,Vibe,136,A Minor,8A,6,6
